DATE,CLOSE
2021-02-25,1165.43
2021-02-26,1168.47
2021-03-01,1186.17
2021-03-02,1186.61
2021-03-03,1186.95
2021-03-04,1168.52
2021-03-05,1168.69
2021-03-08,1168.27
2021-03-09,1161.97
2021-03-10,1170.08
2021-03-11,1181.73
2021-03-12,1181.56
2021-03-15,1184.56
2021-03-16,1179.9
2021-03-17,1186.09
2021-03-18,1200.94
2021-03-19,1194.05
2021-03-22,1194.43
2021-03-23,1183.45
2021-03-24,1161.81
2021-03-25,1163.1
2021-03-26,1162.21
2021-03-29,1175.68
2021-03-30,1186.36
2021-03-31,1191.44
2021-04-01,1216.1
2021-04-02,1224.45
2021-04-05,1236.05
2021-04-06,1239.96
2021-04-07,1242.38
2021-04-08,1234.89
2021-04-09,1231.66
2021-04-12,1252.45
2021-04-13,1248.33
2021-04-14,1255.87
2021-04-15,1247.25
2021-04-16,1238.71
2021-04-19,1260.58
2021-04-20,1268.28
2021-04-22,1227.82
2021-04-23,1248.53
2021-04-26,1215.77
2021-04-27,1219.75
2021-04-28,1229.55
2021-04-29,1239.39
2021-05-04,1242.2
2021-05-05,1256.43
2021-05-06,1250.57
2021-05-07,1241.81
2021-05-10,1259.58
2021-05-11,1256.04
2021-05-12,1269.09
2021-05-13,1261.99
2021-05-14,1266.36
2021-05-17,1258.7
2021-05-18,1252.68
2021-05-19,1262.49
2021-05-20,1278.22
2021-05-21,1283.93
2021-05-24,1297.98
2021-05-25,1308.58
2021-05-26,1316.7
2021-05-27,1303.57
2021-05-28,1320.46
2021-05-31,1328.05
2021-06-01,1337.78
2021-06-02,1340.78
2021-06-03,1364.28
2021-06-04,1374.05
2021-06-07,1358.78
2021-06-08,1319.88
2021-06-09,1332.9
2021-06-10,1323.58
2021-06-11,1351.74
2021-06-14,1361.72
2021-06-15,1367.36
2021-06-16,1356.52
2021-06-17,1359.92
2021-06-18,1377.77
2021-06-21,1372.63
2021-06-22,1379.97
2021-06-23,1376.87
2021-06-24,1379.72
2021-06-25,1390.12
2021-06-28,1405.81
2021-06-29,1410.04
2021-06-30,1408.55
2021-07-01,1417.08
2021-07-02,1420.27
2021-07-05,1411.13
2021-07-06,1354.79
2021-07-07,1388.55
2021-07-08,1374.68
2021-07-09,1347.14
2021-07-12,1296.3
2021-07-13,1297.54
2021-07-14,1279.91
2021-07-15,1293.92
2021-07-16,1299.31
2021-07-19,1243.51
2021-07-20,1273.29
2021-07-21,1270.79
